domain,code,title,description,skill,score
STEM,AST 109,astronomy: general observations,this course serves as an observational introduction to astronomy especially for students who are not science oriented a selected number of basic topics in astronomy are carefully examined and subjected to observational verification the relevance of the scientist and his her work to the lives of non scientists is continually examined,Investigate work related complaints to determine corrective actions.,1
STEM,AST 109,astronomy: general observations,this course serves as an observational introduction to astronomy especially for students who are not science oriented a selected number of basic topics in astronomy are carefully examined and subjected to observational verification the relevance of the scientist and his her work to the lives of non scientists is continually examined,Present work to clients for approval.,1
STEM,AST 109,astronomy: general observations,this course serves as an observational introduction to astronomy especially for students who are not science oriented a selected number of basic topics in astronomy are carefully examined and subjected to observational verification the relevance of the scientist and his her work to the lives of non scientists is continually examined,Clean work areas.,1
STEM,AST 109,astronomy: general observations,this course serves as an observational introduction to astronomy especially for students who are not science oriented a selected number of basic topics in astronomy are carefully examined and subjected to observational verification the relevance of the scientist and his her work to the lives of non scientists is continually examined,Maintain clean work areas.,1
STEM,AST 109,astronomy: general observations,this course serves as an observational introduction to astronomy especially for students who are not science oriented a selected number of basic topics in astronomy are carefully examined and subjected to observational verification the relevance of the scientist and his her work to the lives of non scientists is continually examined,Supervise laboratory work.,2
STEM,AST 109,astronomy: general observations,this course serves as an observational introduction to astronomy especially for students who are not science oriented a selected number of basic topics in astronomy are carefully examined and subjected to observational verification the relevance of the scientist and his her work to the lives of non scientists is continually examined,Train others on work processes.,1
STEM,AST 109,astronomy: general observations,this course serves as an observational introduction to astronomy especially for students who are not science oriented a selected number of basic topics in astronomy are carefully examined and subjected to observational verification the relevance of the scientist and his her work to the lives of non scientists is continually examined,Plan work procedures.,2
STEM,AST 109,astronomy: general observations,this course serves as an observational introduction to astronomy especially for students who are not science oriented a selected number of basic topics in astronomy are carefully examined and subjected to observational verification the relevance of the scientist and his her work to the lives of non scientists is continually examined,"Travel to work sites to perform installation, repair or maintenance work.",1
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,"Plant crops, trees, or other plants.",4
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Prepare materials or solutions for animal or plant use.,5
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Plant greenery to improve landscape appearance.,2
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Track goods or materials.,1
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Weigh materials to ensure compliance with specifications.,1
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Sort recyclable materials.,1
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Sort forestry or agricultural materials.,3
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Select materials or props.,2
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Dispose of hazardous materials.,3
STEM,BIO 270,plant biology,this course is designed to provide students with the fundamentals of plant biology such as anatomy morphology growth and development reproduction genetics physiology plant ecology and an overview of evolution and the importance of plants in society this course includes hands on laboratory experience and life plant materials integrated with the lecture content,Dispose of trash or waste materials.,3
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Conduct gaming transactions.,1
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Execute sales or other financial transactions.,3
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Install home appliances.,1
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Contact current or potential customers to promote products or services.,3
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Arrange insurance coverage.,3
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Reconcile records of sales or other financial transactions.,3
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Merchandise healthcare products or services.,2
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Sell products or services.,2
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Recommend products or services to customers.,2
Business Management and Accounting,BUS 121,personal finance,discusses the problems involved in efficient handling of personal finance and consumption expenditure including consumer protection taxation insurance home financing and methods of borrowing and investing money topics covered will include goal setting budgeting banking and basic financial transactions building maintaining and repairing credit credit report and scores home auto ownership current regulations and practices governing consumer financial transactions potential risks faced by individuals and families banking services and products insurance and investment and planning for retirement,Purchase products or services.,2
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Develop business relationships.,3
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Monitor business indicators.,3
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Establish business management methods.,4
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Apply adhesives to construction materials.,2
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Develop business or financial information systems.,3
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Develop sustainable business strategies or practices.,4
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Develop agricultural methods.,1
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Develop financial or business plans.,4
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Apply paint to surfaces.,1
Business Management and Accounting,BUS 150,business communication,this course is designed to present principles common to all communicating situations but which apply predominately to business the applicability and construction of letters memos reports telephone messages and emails are considered relationships of creative logical and critical thinking of the problem solving nature of business communication are explored the course is directed to helping students develop their ability to think to express themselves in business situations and to use the most effective methods in the most effective way,Apply sealants or other protective coatings.,1
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Monitor extraction operations.,1
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Plan flight operations.,1
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Manage agricultural or forestry operations.,1
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Manage healthcare operations.,1
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Manage operations of artistic or entertainment departments or organizations.,2
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Inspect systems to determine if they are operating properly.,3
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Maintain knowledge of business operations.,4
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,"Develop operating strategies, plans, or procedures for green or sustainable operations.",3
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Manage food service operations or parts of operations.,1
Business Management and Accounting,BUS 200,business organization and management,this course covers the total structure and character of modern business from initial organization through grouping of essential functions into operating departments management and the decision making process financing operations and marketing considerations are studied with actual cases used to illustrate problems in small and big businesses,Confer with personnel to coordinate business operations.,3
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Participate in staffing decisions.,2
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Participate in athletic events.,1
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Issue documentation or identification to customers or employees.,1
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Confer with managers to make operational decisions.,4
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Develop database parameters or specifications.,2
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Collaborate with others to develop or refine designs.,1
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Mark agricultural or forestry products for identification.,1
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Apply identification labels or tags.,1
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Communicate with management or other staff to resolve problems.,3
Business Management and Accounting,BUS 220,managerial decision making,this course is designed to develop the students ability to make decisions as a manager cases are used to present the student with a variety of management problems students participate in oral and written case analysis which requires identification of the problem proposal of alternative solutions to it and the choice of one solution based on criteria of profitability and productivity students also participate in a management simulation game,Make decisions in legal cases.,2
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Prepare production storyboards.,2
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Prepare compounds or solutions to be used for repairs.,1
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Prepare medications or medical solutions.,1
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Prepare employee work schedules.,3
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Clean materials to prepare them for production.,1
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Manage budgets for appropriate resource allocation.,3
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Design computer modeling or simulation programs.,4
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Prepare maps.,1
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Prepare surfaces for finishing.,1
Business Management and Accounting,BUS 225,operations management,this course has been designed to prepare the students for further work in decision making either on the job or in other institutions the course will make use of computer programs in the construction and solutions of problems such as production and inventory models cost volume profit analysis queuing theory and markov process and resource allocation scheduling and simulation,Prepare hot or cold beverages.,1
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Analyze chemical compounds or substances.,4
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Research microbiological or chemical processes or structures.,4
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Mix substances to create chemical solutions.,4
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Test chemical or physical characteristics of materials or products.,4
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Measure physical or chemical properties of materials or objects.,4
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Operate chemical processing or water treatment systems or equipment.,3
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Research engineering aspects of biological or chemical processes.,3
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Apply chemical solutions to plants to protect against disease or insects or to enhance growth.,2
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,"Prepare biological feedstock for physical, chemical, or biological processing.",1
STEM,CHE 202,college chemistry ii,this is a two semester course sequence that involves the study of chemical principles including atomic and molecular theories molecular structure and reactivity the laboratory will include experiments illustrating the chemical principles che 201202 two terms required,Supervise laboratory work.,3
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Administer anesthetics or sedatives to control pain.,1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Control prescription refills or authorizations.,1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,"Apply cleansing or conditioning agents to client hair, scalp, or skin.",1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Apply parting agents or other solutions to molds.,1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Build agricultural structures.,1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Assemble metal structures.,1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Maintain plumbing structures or fixtures.,1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Control pumps or pumping equipment.,1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Control equipment that regulates vehicle traffic.,1
"Social Sciences, Humanities, and Education",CRJ 101,introduction to criminal justice,criminal justice is the field that studies formal social control this course covers the processing of crime by agents of formal control police courts and institutional corrections the general focus is on understanding the complex interactions of structures and agents in t,Apprehend criminal suspects.,4
"Social Sciences, Humanities, and Education",CRJ 202,corrections,this course examines the history of criminal punishment in western society emphasizing the united states the course highlights social forces political religious economic and technological shaping punishment reviews common theories deterrence retribution rehabilitation incapacitation and restoration and examines how theory relates to policy the course takes a critical approach to correctional systems and policies by considering disparities and structural inequalities empirical evidence is used to examine contemporary crises of punishment ie mass incarceration school to prison pipeline as well as prison culture staffing privatization and prisoner civil rights alternatives to traditional punishment especially restorative justice models are explored,Count prison inmates or personnel.,2
